scheme,ate_mean,ate_sd,ate_min,ate_max,cate_sd_mean,cate_iqr_mean,mi_ate_sd_mean,mi_ate_iqr_mean,n
vary_eval,0.032046949594505734,0.08996387699718927,-0.2777965059887181,0.2924948784960669,0.04817810464403478,0.0669122103736755,0.0,0.0,1000
vary_all,0.029734955447684383,0.08674575276458327,-0.23702600874456597,0.28670965966618833,0.047815127986825315,0.0662157478463221,0.0,0.0,1000
vary_imp,0.03058657141072146,0.037779496455232806,-0.11882110880217808,0.20830328849252433,0.04840715765577756,0.06721948451045916,0.0,0.0,1000
vary_model,0.057552537098656584,0.02595881667438015,-0.03270195222119579,0.14286247350858586,0.05073609229723642,0.07085323818598638,0.0,0.0,1000
baseline_fixed,0.03942987319776793,,0.03942987319776793,0.03942987319776793,0.05491001859013409,0.08211632400711769,0.0,0.0,1
ALL_EXCL_vary_all,0.04006180872278625,0.05956620713586306,-0.2777965059887181,0.2924948784960669,,,,,3001
