scheme,ate_mean,ate_sd,ate_min,ate_max,cate_sd_mean,cate_iqr_mean,mi_ate_sd_mean,mi_ate_iqr_mean,n
vary_all,0.08487142453924977,0.07343087425616225,-0.12326714717579516,0.2685221166679712,0.04917024290547998,0.06832650145391442,0.0,0.0,1000
vary_eval,0.10460848189995628,0.0731530175019152,-0.05775244366055911,0.20123452943138911,0.043640377968191514,0.06005897757418721,0.0,0.0,10
vary_imp,0.05874185942602074,0.04371206908324885,-0.011549965557717454,0.12942420994613674,0.03925854247417523,0.05263038283287038,0.0,0.0,10
vary_model,0.11520531960796601,0.01828674560622053,0.08213470261059172,0.13977315927116066,0.037940842017854,0.05115851235203226,0.0,0.0,10
baseline_fixed,0.10594790515477236,,0.10594790515477236,0.10594790515477236,0.03634352266825922,0.046976132359745126,0.0,0.0,1
ALL_EXCL_vary_all,0.09327433917723232,0.053711722480217224,-0.05775244366055911,0.20123452943138911,,,,,31
