scheme,seed_imp,seed_model,seed_eval,idx_imp,idx_model,idx_eval,ate_hat,cate_sd_test,cate_iqr_test,mi_ate_sd,mi_ate_iqr,mi_B,M_imputations,n_test
baseline_fixed,2029167940,612176794,1753345571,0,0,0,0.10594790515477236,0.03634352266825922,0.046976132359745126,0.0,0.0,0.0,1,480
vary_imp,2029167940,612176794,1753345571,0,0,0,0.10594790515477236,0.03634352266825922,0.046976132359745154,0.0,0.0,0.0,1,480
vary_imp,1342382292,612176794,1753345571,1,0,0,0.07726011197823199,0.04403010310707397,0.05953968780202601,0.0,0.0,0.0,1,480
vary_imp,1469265226,612176794,1753345571,2,0,0,0.011630813239040293,0.04332603537288749,0.05891782646699346,0.0,0.0,0.0,1,480
vary_imp,1926751965,612176794,1753345571,3,0,0,0.07473761134479527,0.04336383158897137,0.05694030584136449,0.0,0.0,0.0,1,480
vary_imp,1241873584,612176794,1753345571,4,0,0,0.018251103876535828,0.03114186126898179,0.043913260294414044,0.0,0.0,0.0,1,480
vary_imp,1665772334,612176794,1753345571,5,0,0,0.07272287216567554,0.04698304486229421,0.06437099937363176,0.0,0.0,0.0,1,480
vary_imp,1790251936,612176794,1753345571,6,0,0,0.04141816465084512,0.03612712320831361,0.04567455945445725,0.0,0.0,0.0,1,480
vary_imp,483628758,612176794,1753345571,7,0,0,0.12942420994613674,0.04265153849050526,0.05567242815108997,0.0,0.0,0.0,1,480
vary_imp,119253155,612176794,1753345571,8,0,0,-0.011549965557717454,0.03185515415833776,0.0409193378095249,0.0,0.0,0.0,1,480
vary_imp,644602188,612176794,1753345571,9,0,0,0.06757576746189166,0.03676321001612759,0.05337929077545678,0.0,0.0,0.0,1,480
vary_model,2029167940,612176794,1753345571,0,0,0,0.10594790515477236,0.03634352266825921,0.046976132359745126,0.0,0.0,0.0,1,480
vary_model,2029167940,1875941738,1753345571,0,1,0,0.12078659564338776,0.039016563768430025,0.05280606166888607,0.0,0.0,0.0,1,480
vary_model,2029167940,1959843383,1753345571,0,2,0,0.11699549945126163,0.036712849881040475,0.05684828625150745,0.0,0.0,0.0,1,480
vary_model,2029167940,11307155,1753345571,0,3,0,0.09278469933606154,0.03782602050923539,0.04915395010868322,0.0,0.0,0.0,1,480
vary_model,2029167940,1073283950,1753345571,0,4,0,0.1246080653507159,0.045788256948499445,0.0583424285905839,0.0,0.0,0.0,1,480
vary_model,2029167940,1763574598,1753345571,0,5,0,0.12117589837158062,0.030733496824787907,0.04030945028669933,0.0,0.0,0.0,1,480
vary_model,2029167940,282266799,1753345571,0,6,0,0.10954288397163969,0.03576545165683152,0.0494979399018535,0.0,0.0,0.0,1,480
vary_model,2029167940,1711693563,1753345571,0,7,0,0.13977315927116066,0.04000698995857022,0.053072280053443124,0.0,0.0,0.0,1,480
vary_model,2029167940,255728785,1753345571,0,8,0,0.1383037869184881,0.03759455793035431,0.04943225655662105,0.0,0.0,0.0,1,480
vary_model,2029167940,1004882659,1753345571,0,9,0,0.08213470261059172,0.03962071003253145,0.055146337742299774,0.0,0.0,0.0,1,480
vary_eval,2029167940,612176794,1753345571,0,0,0,0.10594790515477236,0.03634352266825922,0.046976132359745154,0.0,0.0,0.0,1,480
vary_eval,2029167940,612176794,650757181,0,0,1,0.20123452943138911,0.05198823809811167,0.07410269332377573,0.0,0.0,0.0,1,480
vary_eval,2029167940,612176794,733587778,0,0,2,0.11472675145616511,0.03921105303251689,0.05559068357563926,0.0,0.0,0.0,1,480
vary_eval,2029167940,612176794,597914449,0,0,3,0.08934536464725694,0.05033598119812572,0.07688531551453245,0.0,0.0,0.0,1,480
vary_eval,2029167940,612176794,1545052023,0,0,4,0.13796457541597923,0.04061838650136121,0.05255556362957081,0.0,0.0,0.0,1,480
vary_eval,2029167940,612176794,547328271,0,0,5,0.1367794077627984,0.052195574385036254,0.07066017565295185,0.0,0.0,0.0,1,480
vary_eval,2029167940,612176794,2126996168,0,0,6,0.02448978585406442,0.043217508757765824,0.057169275787506524,0.0,0.0,0.0,1,480
vary_eval,2029167940,612176794,955794088,0,0,7,0.14997435602228265,0.0398009129671193,0.05321585182910912,0.0,0.0,0.0,1,480
