scheme,ate_mean,ate_sd,ate_min,ate_max,cate_sd_mean,cate_iqr_mean,mi_ate_sd_mean,mi_ate_iqr_mean,n
vary_all,0.02195239371425682,0.09904398780081253,-0.19088833061847332,0.25924613222792003,0.048173142809183306,0.0663815018514691,0.0,0.0,100
vary_eval,0.024295521764783206,0.08638850425359285,-0.13970668456855403,0.28267505578333524,0.0477654458870588,0.06577887262970342,0.0,0.0,100
vary_imp,0.031123830571915458,0.03858712136508832,-0.06624535075899878,0.14824954889546968,0.049155475926367515,0.06839176919601327,0.0,0.0,100
vary_model,0.054316374369899806,0.025114660441976452,-0.0013981093165544925,0.12050803976553244,0.04902740477017946,0.0681726492699054,0.0,0.0,100
baseline_fixed,0.039429873197767924,,0.039429873197767924,0.039429873197767924,0.0549100185901341,0.08211632400711769,0.0,0.0,1
ALL_EXCL_vary_all,0.03658804831846383,0.05768361148756389,-0.13970668456855403,0.28267505578333524,,,,,301
