run,scheme,seed_imp,seed_model,seed_eval,ate_hat,cate_sd_test,cate_iqr_test,mi_ate_sd,mi_ate_iqr,mi_B,M_imputations,n_test
15,vary_imp,1763574598,303,404,0.022436596235147297,0.047509790551892306,0.0666702683532874,0.0,0.0,0.0,1,480
16,vary_imp,282266799,303,404,0.012050436458411232,0.039738845127499284,0.056798404847301934,0.0,0.0,0.0,1,480
17,vary_imp,1711693563,303,404,-0.03338345302246308,0.05166394504556732,0.07545545517954745,0.0,0.0,0.0,1,480
18,vary_imp,255728785,303,404,0.05554720386268062,0.04086492600641588,0.05439538022087647,0.0,0.0,0.0,1,480
19,vary_imp,1004882659,303,404,0.08035959944049244,0.04986112116194388,0.068121213227487,0.0,0.0,0.0,1,480
20,vary_imp,1753345571,303,404,0.002845322034381183,0.05812291889439606,0.08479659731557615,0.0,0.0,0.0,1,480
21,vary_imp,650757181,303,404,0.06038837358089012,0.045022729622678684,0.06236995649277855,0.0,0.0,0.0,1,480
22,vary_imp,733587778,303,404,0.061119866900609755,0.06754677451299498,0.1015920801164334,0.0,0.0,0.0,1,480
23,vary_imp,597914449,303,404,0.10125087653560187,0.03961109048455682,0.05563069380751995,0.0,0.0,0.0,1,480
24,vary_imp,1545052023,303,404,-0.029737407894632566,0.056421937859243834,0.07577232276822726,0.0,0.0,0.0,1,480
25,vary_imp,547328271,303,404,0.00736982247543389,0.042596584736807795,0.05468940610956158,0.0,0.0,0.0,1,480
26,vary_imp,2126996168,303,404,0.059498017626768394,0.04192422682846737,0.05794384766144725,0.0,0.0,0.0,1,480
27,vary_imp,955794088,303,404,0.060020339244250515,0.04709589796289808,0.06150672438736465,0.0,0.0,0.0,1,480
28,vary_imp,1026816911,303,404,0.014434808463695699,0.038902463842807086,0.05282855310416505,0.0,0.0,0.0,1,480
29,vary_imp,1083509135,303,404,0.026644230311992107,0.06089413024582917,0.09033006757685029,0.0,0.0,0.0,1,480
30,vary_imp,1251001414,303,404,0.03677266818527191,0.0411465139657487,0.05234151668371583,0.0,0.0,0.0,1,480
31,vary_imp,1188626512,303,404,0.025672105623083207,0.05411303636665752,0.07892848009846565,0.0,0.0,0.0,1,480
32,vary_imp,1094029749,303,404,0.0633250987037146,0.04341502484055996,0.055464837290139624,0.0,0.0,0.0,1,480
33,vary_imp,2137820579,303,404,0.14824954889546968,0.03870675584169915,0.05262901930368476,0.0,0.0,0.0,1,480
34,vary_imp,1734444720,303,404,0.07043591636801226,0.04387811043867895,0.05879434662559441,0.0,0.0,0.0,1,480
35,vary_imp,1702228508,303,404,0.07532408791487492,0.04225752118894734,0.055135121341111065,0.0,0.0,0.0,1,480
